quarter,rev_ipod,rev_iphone,rev_ipad,units_ipod,units_iphone,units_ipad
Q3-07,1570,5,0,9815,270,0
Q4-07,1619,118,0,10200,1119,0
Q1-08,3997,241,0,22121,2315,0
Q2-08,1818,378,0,10644,1703,0
Q3-08,1678,419,0,11011,717,0
Q4-08,1619,806,0,11052,6892,0
Q1-09,3371,2940,0,22727,4363,0
Q2-09,1665,1521,0,11013,3793,0
Q3-09,1492,1689,0,10215,5208,0
Q4-09,1563,4606,0,10177,7367,0
Q1-10,3391,5578,0,20970,8737,0
Q2-10,1861,5445,0,10885,8752,0
Q3-10,1545,5334,2166,9406,8398,3270
Q4-10,1477,8822,2792,9051,14102,4188
Q1-11,3425,10468,4608,19446,16235,7331
Q2-11,1600,12298,2836,9017,18647,4694
Q3-11,1325,13311,6046,7535,20338,9246